datetime,batch,img_size,memoria_gb_vram,tiempo_entrenamiento,mAP50
2025-06-30 18:15:45,102,1024,12.78,32.6,0.8016
2025-06-30 18:50:43,69,1024,9.56,34.7,0.8014
2025-06-30 19:28:33,33,1024,4.63,37.5,0.8071
2025-06-30 20:15:43,18,1024,2.66,46.9,0.8103
2025-06-30 21:27:47,9,1024,1.39,71.9,0.8009
2025-06-30 21:47:10,102,640,5.31,19.0,0.7875
2025-06-30 22:12:26,69,640,3.62,24.9,0.7854
2025-06-30 22:46:41,33,640,1.97,33.9,0.7847
2025-06-30 23:31:19,18,640,1.1,44.4,0.7918
2025-07-01 00:43:15,9,640,0.6,71.7,0.7762
